Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,B365H,B365D,B365A,HomePoints,AwayPoints,HomeForm,AwayForm,HomeGolosMarcados_Ultimos6,HomeGolosSofridos_Ultimos6,HomePontos_Ultimos6,HomeRematesBaliza_Ultimos6,AwayGolosMarcados_Ultimos6,AwayGolosSofridos_Ultimos6,AwayPontos_Ultimos6,AwayRematesBaliza_Ultimos6,H2H_Pontos_Casa,HomeDiasDescanso,AwayDiasDescanso,Home_Streak,Away_Streak,Home_Elo,Away_Elo,Jogos_Casa_Realizados,Peso_Jogo
2021-08-06,Sp Lisbon,Vizela,3,0,H,5,1,1.28,5.5,11.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14,14,0,0,1500.0,1500.0,0,0.0461739745345908
2021-08-07,Arouca,Estoril,0,2,A,3,6,2.25,3.1,3.4,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14,14,0,0,1500.0,1500.0,0,0.04623726989759162
2021-08-07,Moreirense,Benfica,1,2,A,3,6,8.0,4.5,1.4,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14,14,0,0,1500.0,1500.0,0,0.04623726989759162
2021-08-07,Maritimo,Sp Braga,0,2,A,0,5,5.0,3.4,1.75,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14,14,0,0,1500.0,1500.0,0,0.04623726989759162
2021-08-08,Guimaraes,Portimonense,0,1,A,3,1,2.0,3.2,4.0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14,14,0,0,1500.0,1500.0,0,0.04630065202598393
2021-08-08,Tondela,Santa Clara,3,0,H,5,5,3.0,3.1,2.45,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14,14,0,0,1500.0,1500.0,0,0.04630065202598393
2021-08-08,Porto,Belenenses,2,0,H,7,3,1.22,6.0,11.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14,14,0,0,1500.0,1500.0,0,0.04630065202598393
2021-08-08,Pacos Ferreira,Famalicao,2,0,H,3,2,2.37,3.25,3.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14,14,0,0,1500.0,1500.0,0,0.04630065202598393
2021-08-09,Gil Vicente,Boavista,3,0,H,6,5,2.1,3.1,3.8,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14,14,0,0,1500.0,1500.0,0,0.04636412103870588
2021-08-13,Estoril,Guimaraes,0,0,D,1,2,2.7,3.2,2.45,1,1,3,0,2.0,0.0,3.0,6.0,0.0,1.0,0.0,3.0,1.0,6,5,1,-1,1515.0,1485.0,0,0.046618868317364164
2021-08-14,Vizela,Tondela,2,1,H,6,2,2.37,3.2,2.8,3,0,0,3,0.0,3.0,0.0,1.0,3.0,0.0,3.0,5.0,1.0,8,6,-1,1,1485.0,1515.0,0,0.046682773541520756
2021-08-14,Benfica,Arouca,2,0,H,5,1,1.18,6.5,15.0,3,0,3,0,2.0,1.0,3.0,6.0,0.0,2.0,0.0,3.0,1.0,7,7,1,-1,1515.0,1485.0,0,0.046682773541520756
